bathrooms;bedrooms;accommodates;cleaning_fee;entire_home/apt;private_room;beds;guests_included;monthly_price;zipcode;security_deposit;longitude;latitude;host_since_in_days;weekly_price;availability_90;availability_60;host_total_listings_count;availability_365;availability_30;price
1.0;1.0;2.0;38.00000000000001;0.0;1.0;1.0;2.0;1054.0;28034.0;300.0;-3.70675461777988;40.48351301203376;577.0;250.00000000000003;60.00000000000001;60.0;2.0;155.0;30.0;50.0
2.0;3.0000000000000004;7.0;25.0;1.0;0.0;5.0;1.0;1734.8;28010.0;180.0;-3.701446961251552;40.435349670427456;198.00000000000003;384.0;23.000000000000004;6.0;1.0;100.0;4.0;100.0
1.0;1.0;2.0;29.0;0.0;1.0;1.0;1.0;1080.0;28006.0;120.0;-3.674630562753264;40.426860659405534;1012.0;354.00000000000006;1.0;1.0;2.0;32.0;1.0;28.000000000000004
1.0;1.0;4.0;25.0;1.0;0.0;1.0;2.0;1869.8;28004.000000000004;150.0;-3.705144979629012;40.42203705579692;563.0;343.80000000000007;20.0;9.0;5.0;289.0;3.0;60.0
1.5;2.0;4.0;50.0;1.0;0.0;2.0;1.0;1073.0;28033.0;300.0;-3.663924259558876;40.47934949932916;1264.0;357.0;24.0;1.0;1.0;115.0;1.0;65.00000000000001
1.0;1.0;4.0;50.0;1.0;0.0;2.0;2.0;1204.0;28004.000000000004;200.0;-3.702338427672928;40.42218749269139;1484.0000000000002;447.6000000000001;82.0;52.0;1.0;357.0;22.0;150.0
1.0;1.0;2.0;12.0;0.0;1.0;1.0;1.0;827.9999999999999;28005.0;118.0;-3.710624018306472;40.41033937288797;619.0;210.0;89.0;59.0;1.0;89.0;29.0;35.0
1.0;0.0;1.0;28.200000000000006;1.0;0.0;1.0;1.0;600.0;28012.000000000004;204.0;-3.70081781690612;40.40820886678287;1294.0;250.00000000000003;1.0;1.0;1.0;165.0;0.0;50.0
1.0;1.0;2.0;27.4;1.0;0.0;1.0;1.0;1208.0;28001.0;250.0;-3.6801006927877102;40.42652782167151;789.0;368.0;51.0;21.0;2.0;51.0;0.0;71.0
2.0;3.0000000000000004;4.0;28.000000000000004;1.0;0.0;3.0;1.0;1600.0;28043.0;140.0;-3.6475146142789296;40.4625368144232;765.0;450.0;0.0;0.0;1.0;0.0;0.0;100.0
1.0;1.0;1.0;20.6;0.0;1.0;1.0;1.0;1146.9999999999998;28001.0;290.0;-3.677982963291536;40.42904712660482;56.99999999999999;323.99999999999994;79.0;49.0;1.0;354.0;19.0;26.0
2.0;1.0;4.0;30.0;1.0;0.0;2.0;2.0;1779.9999999999998;28012.000000000004;150.0;-3.7026499280497056;40.41513057004313;452.0;341.6;40.0;26.0;207.0;274.0;10.0;89.00000000000001
