Host Response Rate,Host Listings Count,Host Total Listings Count,Zipcode,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Square Feet,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Calculated host listings count,Reviews per Month,Host Since in Days,First Review in Days,Entire home/apt,Private room,Shared room
100.0,5.0,5.0,28034.0,40.48295475179497,-3.712022281623769,4.0,1.0,1.0,2.0,276.8,59.00000000000001,438.99999999999994,1359.9999999999998,550.0,19.0,3.0,8.0,1.0,1125.0,14.0,44.0,69.0,159.0,0.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,1.0,2.072,1019.0000000000001,201.39999999999995,1.0,0.0,0.0
100.0,3.0000000000000004,3.0000000000000004,28012.000000000004,40.413337779271615,-3.702218942214056,4.0,1.0,1.0,2.0,305.8,90.0,398.0,2100.0,183.48397863818425,22.0,1.0,0.0,1.0,60.0,8.0,23.0,43.0,306.0,199.0,95.0,10.0,10.0,9.0,9.0,10.0,10.0,3.0,8.38,715.0,706.0,1.0,0.0,0.0
100.0,2.0,2.0,28014.0,40.40822817051768,-3.687320922724373,5.0,1.0,2.0,2.0,400.20000000000005,109.99999999999999,436.99999999999994,1279.8,165.0,20.0,1.0,0.0,2.0,1125.0,1.0,4.0,12.0,87.0,16.0,98.0,10.0,9.0,9.0,10.0,10.0,10.0,2.0,7.06,416.00000000000006,64.0,1.0,0.0,0.0
100.0,2.0,2.0,28012.000000000004,40.410555354671615,-3.701293240610774,4.0,1.0,1.0,2.0,290.6,45.0,414.8,1100.0,100.0,25.0,2.0,20.0,2.0,1125.0,6.0,14.0,30.000000000000004,304.0,40.0,92.0,10.0,10.0,10.0,10.0,9.0,9.0,2.0,2.49,1066.0,469.0,1.0,0.0,0.0
94.65098420938784,1.0,1.0,28043.0,40.46424165797921,-3.631162785844418,1.0,1.0,1.0,1.0,352.59999999999997,20.0,164.0,479.00000000000006,183.48397863818425,24.599999999999998,1.0,0.0,1.0,1125.0,0.0,0.0,0.0,0.0,0.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,1.0,2.072,1703.0000000000002,303.8,0.0,1.0,0.0
100.0,2.0,2.0,28005.0,40.412028475410665,-3.715778795417614,3.0,1.0,1.0,1.0,251.40000000000003,68.0,431.99999999999994,1402.3999999999999,130.0,24.0,2.0,5.0,2.0,1125.0,10.0,25.0,46.00000000000001,113.0,20.0,83.0,9.0,9.0,9.0,10.0,9.0,8.0,2.0,2.12,319.0,276.0,1.0,0.0,0.0
100.0,2.0,2.0,28012.000000000004,40.41707378430285,-3.705272386381462,3.0,1.0,0.0,2.0,596.0000000000001,82.00000000000001,405.99999999999994,1219.8,165.0,20.0,1.0,0.0,2.0,32.0,13.0,36.0,66.0,341.0,0.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,2.0,2.072,1031.0,264.79999999999995,1.0,0.0,0.0
75.0,1.0,1.0,28009.0,40.41577410492245,-3.675902707288031,2.0,1.0,1.0,1.0,423.40000000000003,29.000000000000004,227.20000000000005,450.0,183.48397863818425,24.0,1.0,7.000000000000001,3.0000000000000004,1125.0,8.0,38.0,68.0,68.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.2899999999999999,625.0,84.0,0.0,1.0,0.0
100.0,6.000000000000001,6.000000000000001,28013.0,40.41730948002312,-3.707302253516138,2.0,1.0,0.0,1.0,617.8000000000001,39.0,439.0,1174.0000000000002,183.48397863818425,47.00000000000001,1.0,0.0,2.0,365.0,1.0,9.0,21.0,99.0,8.0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,6.000000000000001,2.02,132.0,116.0,1.0,0.0,0.0
100.0,3.0000000000000004,3.0000000000000004,28010.0,40.43604391719478,-3.696642714955018,2.0,1.0,1.0,2.0,872.0000000000001,25.0,202.39999999999998,429.0,183.48397863818425,34.6,1.0,10.0,2.0,1125.0,16.0,16.0,16.0,275.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,2.0,65.0,23.0,0.0,1.0,0.0
100.0,1.0,1.0,28053.0,40.39118401606798,-3.64659330057953,1.0,1.0,1.0,1.0,523.2,12.0,157.0,409.0,183.48397863818425,28.000000000000004,1.0,0.0,3.0000000000000004,21.0,8.0,20.0,38.0,38.0,1.0,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1.0,1.0,204.0,0.0,0.0,1.0,0.0
96.0,39.0,39.0,28014.0,40.412143019757856,-3.6942149117334826,4.0,1.0,1.0,4.0,326.20000000000005,89.00000000000001,447.99999999999994,1174.0000000000002,183.48397863818425,25.000000000000004,1.0,0.0,1.0,1125.0,8.0,26.0,46.00000000000001,320.0,0.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,29.0,2.072,239.0,457.99999999999994,1.0,0.0,0.0
100.0,3.0000000000000004,3.0000000000000004,28012.000000000004,40.41126542413903,-3.704240248370645,1.0,1.0,1.0,1.0,365.40000000000003,35.0,190.40000000000003,404.99999999999994,183.48397863818425,34.8,1.0,0.0,1.0,12.0,20.0,45.0,71.0,71.0,177.0,94.0,10.0,10.0,10.0,10.0,9.0,10.0,2.0,4.93,1091.0,1045.0,0.0,1.0,0.0
100.0,3.0000000000000004,3.0000000000000004,28012.000000000004,40.41048622810066,-3.703196282624922,3.0,1.0,1.0,2.0,462.99999999999994,52.0,396.99999999999994,1348.0000000000002,165.0,20.0,2.0,10.0,2.0,999.0,1.0,5.0,10.0,261.0,35.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,5.47,1657.0,189.99999999999997,1.0,0.0,0.0
100.0,1.0,1.0,28004.000000000004,40.42231852103792,-3.706111751599317,1.0,1.0,1.0,1.0,523.2,25.0,145.00000000000003,409.0,313.20000000000005,10.0,1.0,0.0,1.0,1125.0,21.0,51.0,81.0,81.0,0.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,1.0,2.072,666.0,334.20000000000005,0.0,1.0,0.0
