Host Response Rate;Host Listings Count;Host Total Listings Count;Zipcode;Latitude;Longitude;Accommodates;Bathrooms;Bedrooms;Beds;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Calculated host listings count;Reviews per Month;Host Since in Days;First Review in Days;Entire home/apt;Private room;Shared room;Square Meters
100.0;1.0;1.0;28004.0;40.42231852103792;-3.706111751599317;1;1.0;1.0;1.0;;25.0;;;;10.0;1;0;1;1125;21;51;81;81;0;;;;;;;;1.0;;666.0;;0;1;0;
75.0;2.0;2.0;28034.0;40.48351301203376;-3.70675461777988;2;1.0;1.0;1.0;;50.0;250.0;;300.0;;2;10;1;30;30;60;60;155;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.06;577.0;0.0;0;1;0;
100.0;1.0;1.0;28010.0;40.435349670427456;-3.701446961251552;7;2.0;3.0;5.0;;100.0;;;;25.0;1;0;1;150;4;6;23;100;7;97.0;10.0;9.0;10.0;10.0;10.0;10.0;1.0;1.22;198.0;138.0;1;0;0;
100.0;2.0;2.0;28006.0;40.426860659405534;-3.674630562753264;2;1.0;1.0;1.0;;28.0;;;;;1;0;2;1125;1;1;1;32;0;;;;;;;;1.0;;1012.0;;0;1;0;
100.0;5.0;5.0;28004.0;40.42203705579692;-3.705144979629012;4;1.0;1.0;1.0;;60.0;;;150.0;25.0;2;20;2;1125;3;9;20;289;16;99.0;10.0;10.0;10.0;10.0;10.0;10.0;5.0;5.71;563.0;81.0;1;0;0;
50.0;1.0;1.0;28033.0;40.47934949932916;-3.663924259558876;4;1.5;2.0;2.0;;65.0;;;300.0;50.0;1;0;5;1125;1;1;24;115;3;93.0;9.0;9.0;10.0;10.0;9.0;9.0;1.0;0.31;1264.0;65.0;1;0;0;
67.0;1.0;1.0;28004.0;40.42218749269139;-3.702338427672928;4;1.0;1.0;2.0;;150.0;;;200.0;50.0;2;20;2;1125;22;52;82;357;6;100.0;10.0;9.0;10.0;10.0;10.0;10.0;1.0;0.5;1484.0;190.0;1;0;0;
50.0;1.0;1.0;28005.0;40.41033937288797;-3.710624018306472;2;1.0;1.0;1.0;;35.0;210.0;;;12.0;1;0;2;7;29;59;89;89;13;91.0;10.0;9.0;10.0;10.0;10.0;9.0;1.0;0.64;619.0;280.0;0;1;0;
33.0;1.0;1.0;28012.0;40.40820886678287;-3.70081781690612;1;1.0;0.0;1.0;;50.0;250.0;600.0;;;1;0;2;1125;0;1;1;165;4;85.0;10.0;9.0;10.0;10.0;9.0;8.0;1.0;0.15;1294.0;545.0;1;0;0;
100.0;2.0;2.0;28001.0;40.42652782167151;-3.6801006927877102;2;1.0;1.0;1.0;;71.0;;;250.0;;1;0;2;30;0;21;51;51;31;90.0;9.0;8.0;10.0;10.0;10.0;9.0;1.0;1.71;789.0;453.0;1;0;0;
;1.0;1.0;28043.0;40.4625368144232;-3.6475146142789296;4;2.0;3.0;3.0;;100.0;450.0;1600.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;1.0;;765.0;;1;0;0;
100.0;1.0;1.0;28001.0;40.42904712660482;-3.677982963291536;1;1.0;1.0;1.0;;26.0;;;;;1;0;1;15;19;49;79;354;0;;;;;;;;1.0;;57.0;;0;1;0;
99.0;207.0;207.0;28012.0;40.41513057004313;-3.7026499280497056;4;2.0;1.0;2.0;;89.0;;;150.0;30.0;2;12;2;1125;10;26;40;274;3;67.0;7.0;9.0;7.0;7.0;10.0;8.0;67.0;2.65;452.0;13.0;1;0;0;
;1.0;1.0;28012.0;40.41538264741362;-3.70658892921296;2;1.0;1.0;1.0;;90.0;550.0;1300.0;100.0;10.0;1;15;3;31;28;58;88;363;12;87.0;8.0;8.0;10.0;9.0;10.0;9.0;1.0;0.4;1058.0;288.0;0;1;0;
94.0;10.0;10.0;28004.0;40.42025639873373;-3.7028565499364623;3;1.0;1.0;1.0;;80.0;535.0;1150.0;;;1;0;1;365;10;27;49;291;2;90.0;10.0;8.0;6.0;9.0;10.0;9.0;10.0;0.05;1613.0;448.0;1;0;0;
100.0;1.0;1.0;28029.0;40.46910690676356;-3.690178586561625;2;1.0;1.0;1.0;;36.0;225.0;510.0;;;1;10;1;40;12;29;31;112;42;100.0;10.0;10.0;10.0;10.0;9.0;10.0;1.0;1.7;1596.0;734.0;0;1;0;
100.0;1.0;1.0;28005.0;40.40479531163243;-3.710049498585271;3;1.0;1.0;2.0;;60.0;;;;10.0;2;12;1;25;3;5;7;212;8;90.0;9.0;9.0;10.0;10.0;10.0;9.0;1.0;1.49;782.0;133.0;1;0;0;
100.0;2.0;2.0;28012.0;40.40752448531772;-3.699853543110171;6;2.0;1.0;6.0;;35.0;;;;;1;25;3;1125;30;60;90;181;2;100.0;10.0;10.0;10.0;10.0;10.0;9.0;2.0;0.11;1934.0;15.0;0;1;0;
100.0;6.0;6.0;28001.0;40.429494023042125;-3.686298970811813;3;1.0;2.0;2.0;;80.0;;;150.0;50.0;2;25;5;1125;7;36;66;341;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;2.0;1.11;1273.0;16.0;1;0;0;
86.0;2.0;2.0;28045.0;40.40257725249224;-3.6949291439269945;2;1.0;1.0;1.0;;40.0;;;;;1;0;1;1125;11;41;71;346;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;2.0;1.0;1406.0;0.0;0;1;0;
100.0;1.0;1.0;28015.0;40.4345720865884;-3.7124475968488864;2;1.0;1.0;2.0;;40.0;250.0;800.0;;;1;0;1;1125;6;36;54;329;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.06;609.0;0.0;0;1;0;
100.0;1.0;1.0;28034.0;40.48466449806586;-3.6880760200134977;5;1.0;3.0;4.0;;50.0;;;150.0;;2;10;20;1125;0;0;0;222;18;97.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;2.5;262.0;144.0;1;0;0;
